League,Name,Position,Team,Age,Market Value
La Liga,Alexander Sørloth,Centre-Forward,Atlético de Madrid,29,"€25,000,000"
La Liga,Álex Remiro,Goalkeeper,Real Sociedad,30,"€25,000,000"
La Liga,Nayef Aguerd,Centre-Back,Real Sociedad,29,"€25,000,000"
La Liga,Miguel Gutiérrez,Left-Back,Girona FC,23,"€25,000,000"
La Liga,Dodi Lukébakio,Right Winger,Sevilla FC,27,"€25,000,000"
La Liga,Alberto Moleiro,Attacking Midfield,UD Las Palmas,21,"€25,000,000"
La Liga,Antonio Rüdiger,Centre-Back,Real Madrid,32,"€24,000,000"
La Liga,Antoine Griezmann,Centre-Forward,Atlético de Madrid,34,"€22,000,000"
La Liga,Aitor Paredes,Centre-Back,Athletic Bilbao,24,"€22,000,000"
La Liga,Viktor Tsygankov,Right Winger,Girona FC,27,"€22,000,000"
La Liga,Andriy Lunin,Goalkeeper,Real Madrid,26,"€20,000,000"
La Liga,José María Giménez,Centre-Back,Atlético de Madrid,30,"€20,000,000"
La Liga,Sergio Gómez,Right Winger,Real Sociedad,24,"€20,000,000"
La Liga,Mikel Jauregizar,Central Midfield,Athletic Bilbao,21,"€20,000,000"
La Liga,Iñaki Williams,Right Winger,Athletic Bilbao,30,"€20,000,000"
La Liga,Javi Guerra,Central Midfield,Valencia CF,21,"€20,000,000"
La Liga,Yangel Herrera,Central Midfield,Girona FC,27,"€20,000,000"
La Liga,Johnny Cardoso,Defensive Midfield,Real Betis Balompié,23,"€20,000,000"
La Liga,Giovani Lo Celso,Central Midfield,Real Betis Balompié,29,"€20,000,000"
La Liga,Antony,Right Winger,Real Betis Balompié,25,"€20,000,000"
La Liga,Fábio Silva,Centre-Forward,UD Las Palmas,22,"€20,000,000"
La Liga,Enzo Boyomo,Centre-Back,CA Osasuna,23,"€20,000,000"
La Liga,Óscar Mingueza,Right-Back,Celta de Vigo,25,"€20,000,000"
La Liga,Joan García,Goalkeeper,RCD Espanyol Barcelona,23,"€20,000,000"
La Liga,Ferland Mendy,Left-Back,Real Madrid,29,"€18,000,000"
La Liga,Rodrigo Riquelme,Left Winger,Atlético de Madrid,25,"€18,000,000"
La Liga,Igor Zubeldia,Centre-Back,Real Sociedad,28,"€18,000,000"
La Liga,Luka Sucic,Central Midfield,Real Sociedad,22,"€18,000,000"
La Liga,Ander Barrenetxea,Left Winger,Real Sociedad,23,"€18,000,000"
La Liga,Orri Óskarsson,Centre-Forward,Real Sociedad,20,"€18,000,000"
La Liga,Beñat Prados,Central Midfield,Athletic Bilbao,24,"€18,000,000"
La Liga,Yáser Asprilla,Right Winger,Girona FC,21,"€18,000,000"
La Liga,Cucho Hernández,Centre-Forward,Real Betis Balompié,25,"€18,000,000"
La Liga,Beñat Turrientes,Central Midfield,Real Sociedad,23,"€16,000,000"
La Liga,Fran García,Left-Back,Real Madrid,25,"€15,000,000"
La Liga,Marc-André ter Stegen,Goalkeeper,FC Barcelona,32,"€15,000,000"
La Liga,Andreas Christensen,Centre-Back,FC Barcelona,29,"€15,000,000"
La Liga,Eric García,Centre-Back,FC Barcelona,24,"€15,000,000"
La Liga,Robert Lewandowski,Centre-Forward,FC Barcelona,36,"€15,000,000"
La Liga,Ángel Correa,Right Winger,Atlético de Madrid,30,"€15,000,000"
La Liga,Arsen Zakharyan,Attacking Midfield,Real Sociedad,21,"€15,000,000"
La Liga,Julen Agirrezabala,Goalkeeper,Athletic Bilbao,24,"€15,000,000"
La Liga,Logan Costa,Centre-Back,Villarreal CF,24,"€15,000,000"
La Liga,Ilias Akhomach,Right Winger,Villarreal CF,21,"€15,000,000"
La Liga,José Gayà,Left-Back,Valencia CF,29,"€15,000,000"
La Liga,Bryan Gil,Left Winger,Girona FC,24,"€15,000,000"
La Liga,Dário Essugo,Defensive Midfield,UD Las Palmas,20,"€15,000,000"
La Liga,Aimar Oroz,Attacking Midfield,CA Osasuna,23,"€15,000,000"
La Liga,Samú Costa,Defensive Midfield,RCD Mallorca,24,"€15,000,000"
La Liga,Thierno Barry,Centre-Forward,Villarreal CF,22,"€14,000,000"
La Liga,Jon Aramburu,Right-Back,Real Sociedad,22,"€12,000,000"
Ligue 1,Khvicha Kvaratskhelia,Left Winger,Paris Saint-Germain,24,"€80,000,000"
Ligue 1,Ousmane Dembélé,Right Winger,Paris Saint-Germain,27,"€75,000,000"
Ligue 1,Bradley Barcola,Left Winger,Paris Saint-Germain,22,"€70,000,000"
Ligue 1,Achraf Hakimi,Right-Back,Paris Saint-Germain,26,"€65,000,000"
Ligue 1,João Neves,Defensive Midfield,Paris Saint-Germain,20,"€65,000,000"
Ligue 1,Vitinha,Central Midfield,Paris Saint-Germain,25,"€60,000,000"
Ligue 1,Warren Zaïre-Emery,Central Midfield,Paris Saint-Germain,19,"€60,000,000"
Ligue 1,Désiré Doué,Left Winger,Paris Saint-Germain,19,"€60,000,000"
Ligue 1,Nuno Mendes,Left-Back,Paris Saint-Germain,22,"€55,000,000"
Ligue 1,Willian Pacho,Centre-Back,Paris Saint-Germain,23,"€45,000,000"
Ligue 1,Gonçalo Ramos,Centre-Forward,Paris Saint-Germain,23,"€45,000,000"
Ligue 1,Jonathan David,Centre-Forward,LOSC Lille,25,"€45,000,000"
Ligue 1,Marquinhos,Centre-Back,Paris Saint-Germain,30,"€40,000,000"
Ligue 1,Maghnes Akliouche,Right Winger,AS Monaco,23,"€40,000,000"
Ligue 1,Gianluigi Donnarumma,Goalkeeper,Paris Saint-Germain,26,"€35,000,000"
Ligue 1,Fabián Ruiz,Central Midfield,Paris Saint-Germain,29,"€35,000,000"
Ligue 1,Mason Greenwood,Right Winger,Olympique Marseille,23,"€35,000,000"
Ligue 1,Rayan Cherki,Right Winger,Olympique Lyon,21,"€35,000,000"
Ligue 1,Lucas Hernández,Left-Back,Paris Saint-Germain,29,"€30,000,000"
Ligue 1,Kang-in Lee,Right Winger,Paris Saint-Germain,24,"€30,000,000"
Ligue 1,Denis Zakaria,Defensive Midfield,AS Monaco,28,"€30,000,000"
Ligue 1,Eliesse Ben Seghir,Left Winger,AS Monaco,20,"€30,000,000"
Ligue 1,Lucas Chevalier,Goalkeeper,LOSC Lille,23,"€30,000,000"
Ligue 1,Ayyoub Bouaddi,Central Midfield,LOSC Lille,17,"€30,000,000"
Ligue 1,Lucas Beraldo,Centre-Back,Paris Saint-Germain,21,"€25,000,000"
Ligue 1,Wilfried Singo,Centre-Back,AS Monaco,24,"€25,000,000"
Ligue 1,Aleksandr Golovin,Attacking Midfield,AS Monaco,28,"€25,000,000"
Ligue 1,Mika Biereth,Centre-Forward,AS Monaco,22,"€25,000,000"
Ligue 1,Bafodé Diakité,Centre-Back,LOSC Lille,24,"€25,000,000"
Ligue 1,Edon Zhegrova,Right Winger,LOSC Lille,26,"€25,000,000"
Ligue 1,Adrien Rabiot,Central Midfield,Olympique Marseille,30,"€25,000,000"
Ligue 1,Thiago Almada,Attacking Midfield,Olympique Lyon,23,"€25,000,000"
